year,age,mid_year_population,num_week
2017,15 to 44,719704,26
2017,15 to 44,719666.2530247197,27
2017,15 to 44,719631.8906497448,28
2017,15 to 44,719600.8374294367,29
2017,15 to 44,719573.0179181567,30
2017,15 to 44,719548.3566702661,31
2017,15 to 44,719526.7782401264,32
2017,15 to 44,719508.2071820989,33
2017,15 to 44,719492.56805054494,34
2017,15 to 44,719479.7853998258,35
2017,15 to 44,719469.7837843029,36
2017,15 to 44,719462.4877583375,37
2017,15 to 44,719457.8218762911,38
2017,15 to 44,719455.7106925249,39
2017,15 to 44,719456.0787614003,40
2017,15 to 44,719458.8506372788,41
2017,15 to 44,719463.9508745215,42
2017,15 to 44,719471.30402749,43
2017,15 to 44,719480.8346505454,44
2017,15 to 44,719492.4672980491,45
2017,15 to 44,719506.1265243627,46
2017,15 to 44,719521.7368838473,47
2017,15 to 44,719539.2229308643,48
2017,15 to 44,719558.5092197751,49
2017,15 to 44,719579.5203049411,50
2017,15 to 44,719602.1807407235,51
2017,15 to 44,719626.4150814837,52
2017,15 to 44,719652.1478815831,53
2017,45 to 64,476672.2168267235,1
2017,45 to 64,476779.32575487613,2
2017,45 to 64,476887.4076047144,3
2017,45 to 64,476996.5028907877,4
2017,45 to 64,477106.6521276456,5
2017,45 to 64,477217.8958298375,6
2017,45 to 64,477330.27451191284,7
2017,45 to 64,477443.82868842117,8
2017,45 to 64,477558.5988739119,9
2017,45 to 64,477674.62558293453,10
2017,45 to 64,477791.9493300385,11
2017,45 to 64,477910.61062977335,12
2017,45 to 64,478030.6499966884,13
2017,45 to 64,478152.1079453333,14
2017,45 to 64,478275.0249902574,15
2017,45 to 64,478399.4416460102,16
2017,45 to 64,478525.39842714113,17
2017,45 to 64,478652.93584819976,18
2017,45 to 64,478782.0944237355,19
