year,num_week,true_death,fit_death,lower,upper,excess_death
2019,25,1053,1034.0857020742444,801.998,1261,18.91429792575559
2019,26,1051,1029.0692951921403,818.999,1277.0080000000016,21.930704807859684
2019,27,981,1018.0422555936296,814.997,1255.0010000000002,-37.04225559362965
2019,28,1077,1013.0974849584068,813.9979999999999,1267.0010000000002,63.90251504159323
2019,29,964,1008.1737568358119,804.986,1251.0120000000024,-44.1737568358119
2019,30,1041,1003.2710782281856,790.999,1242.0040000000008,37.728921771814385
2019,31,1020,1014.2816885852673,809.996,1255.0070000000014,5.718311414732739
2019,32,1018,1009.3437544800131,805.999,1251.0040000000008,8.656245519986896
2019,33,1028,1004.4272176548824,798.997,1243.0060000000012,23.572782345117616
2019,34,1011,999.5320795309054,788.9970000000001,1230.0030000000006,11.467920469094565
2019,35,1013,935.0259478611233,731.995,1155.0020000000004,77.97405213887669
2019,36,980,1033.3734716570796,817,1273,-53.37347165707956
2019,37,1074,1028.3298847142612,816.999,1261.0020000000004,45.6701152857388
2019,38,1071,1023.3086301595608,804.999,1257.0060000000012,47.691369840439165
2019,39,1142,1018.3097025086754,818.999,1251.005000000001,123.6902974913246
2019,40,1051,1075.8622014406183,850.9979999999999,1314.0020000000004,-24.862201440618264
2019,41,1143,1070.6021942309842,851.9979999999999,1309.0040000000008,72.3978057690158
2019,42,1153,1065.3658657524202,840.9970000000001,1303.0070000000014,87.63413424757982
2019,43,1115,1060.153204638808,828.997,1280.0010000000002,54.84679536119211
2019,44,1101,1129.8822198284618,904.999,1390,-28.882219828461757
2019,45,1184,1124.3500368487757,890.998,1360.025000000005,59.649963151224256
2019,46,1160,1118.8431569482539,871.997,1391.0030000000006,41.15684305174614
2019,47,1229,1113.3615623579233,874.9989999999999,1380.0030000000006,115.63843764207672
2019,48,1163,1107.9052339615973,886.999,1338,55.09476603840267
2019,49,1108,1206.3362030105784,973,1474,-98.3362030105784
2019,50,1312,1200.4210684166442,967.993,1456.0080000000016,111.57893158335582
2019,51,1277,1194.533508922632,975.989,1461.0070000000014,82.46649107736789
2019,52,1018,1117.4093849446838,895.998,1373.0010000000002,-99.40938494468378
