"","Date","All","Female","Male","Year","WeekNumber","Nation"
"240",2017-08-12,58788327.060274,29744219.5013699,29044107.5589041,2017,32,"EW"
"241",2017-08-19,58795446.2328767,29747618.1643836,29047828.0684932,2017,33,"EW"
"242",2017-08-26,58802565.4054795,29751016.8273973,29051548.5780822,2017,34,"EW"
"243",2017-09-02,58809684.5780822,29754415.490411,29055269.0876712,2017,35,"EW"
"244",2017-09-09,58816803.7506849,29757814.1534247,29058989.5972603,2017,36,"EW"
"245",2017-09-16,58823922.9232877,29761212.8164384,29062710.1068493,2017,37,"EW"
"246",2017-09-23,58831042.0958904,29764611.4794521,29066430.6164384,2017,38,"EW"
"247",2017-09-30,58838161.2684932,29768010.1424658,29070151.1260274,2017,39,"EW"
"248",2017-10-07,58845280.4410959,29771408.8054795,29073871.6356164,2017,40,"EW"
"249",2017-10-14,58852399.6136986,29774807.4684932,29077592.1452055,2017,41,"EW"
"250",2017-10-21,58859518.7863014,29778206.1315068,29081312.6547945,2017,42,"EW"
"251",2017-10-28,58866637.9589041,29781604.7945205,29085033.1643836,2017,43,"EW"
"252",2017-11-04,58873757.1315069,29785003.4575342,29088753.6739726,2017,44,"EW"
"253",2017-11-11,58880876.3041096,29788402.1205479,29092474.1835616,2017,45,"EW"
"254",2017-11-18,58887995.4767123,29791800.7835616,29096194.6931507,2017,46,"EW"
"255",2017-11-25,58895114.6493151,29795199.4465753,29099915.2027397,2017,47,"EW"
"256",2017-12-02,58902233.8219178,29798598.109589,29103635.7123288,2017,48,"EW"
"257",2017-12-09,58909352.9945205,29801996.7726027,29107356.2219178,2017,49,"EW"
"258",2017-12-16,58916472.1671233,29805395.4356164,29111076.7315069,2017,50,"EW"
"259",2017-12-23,58923591.339726,29808794.0986301,29114797.2410959,2017,51,"EW"
"260",2017-12-31,58931727.5369863,29812678.2849315,29119049.2520548,2017,52,"EW"
"261",2018-01-07,58938846.709589,29816076.9479452,29122769.7616438,2018,1,"EW"
"262",2018-01-14,58945965.8821918,29819475.6109589,29126490.2712329,2018,2,"EW"
"263",2018-01-21,58953085.0547945,29822874.2739726,29130210.7808219,2018,3,"EW"
"264",2018-01-28,58960204.2273973,29826272.9369863,29133931.290411,2018,4,"EW"
"265",2018-02-04,58967323.4,29829671.6,29137651.8,2018,5,"EW"
"266",2018-02-11,58974442.5726027,29833070.2630137,29141372.309589,2018,6,"EW"
"267",2018-02-18,58981561.7452055,29836468.9260274,29145092.8191781,2018,7,"EW"
"268",2018-02-25,58988680.9178082,29839867.5890411,29148813.3287671,2018,8,"EW"
"269",2018-03-04,58995800.090411,29843266.2520548,29152533.8383562,2018,9,"EW"
"270",2018-03-11,59002919.2630137,29846664.9150685,29156254.3479452,2018,10,"EW"
"271",2018-03-18,59010038.4356164,29850063.5780822,29159974.8575342,2018,11,"EW"
"272",2018-03-25,59017157.6082192,29853462.2410959,29163695.3671233,2018,12,"EW"
"273",2018-04-01,59024276.7808219,29856860.9041096,29167415.8767123,2018,13,"EW"
"274",2018-04-08,59031395.9534247,29860259.5671233,29171136.3863014,2018,14,"EW"
"275",2018-04-15,59038515.1260274,29863658.230137,29174856.8958904,2018,15,"EW"
"276",2018-04-22,59045634.2986301,29867056.8931507,29178577.4054795,2018,16,"EW"
"277",2018-04-29,59052753.4712329,29870455.5561644,29182297.9150685,2018,17,"EW"
"278",2018-05-06,59059872.6438356,29873854.2191781,29186018.4246575,2018,18,"EW"
"279",2018-05-13,59066991.8164384,29877252.8821918,29189738.9342466,2018,19,"EW"
"280",2018-05-20,59074110.9890411,29880651.5452055,29193459.4438356,2018,20,"EW"
"281",2018-05-27,59081230.1616438,29884050.2082192,29197179.9534247,2018,21,"EW"
"282",2018-06-03,59088349.3342466,29887448.8712329,29200900.4630137,2018,22,"EW"
"283",2018-06-10,59095468.5068493,29890847.5342466,29204620.9726027,2018,23,"EW"
"284",2018-06-17,59102587.6794521,29894246.1972603,29208341.4821918,2018,24,"EW"
"285",2018-06-24,59109706.8520548,29897644.860274,29212061.9917808,2018,25,"EW"
"286",2018-07-01,59116696.7561644,29900987.5150685,29215709.2410959,2018,26,"EW"
"287",2018-07-08,59122911.0493151,29903994.1205479,29218916.9287671,2018,27,"EW"
"288",2018-07-15,59129125.3424658,29907000.7260274,29222124.6164384,2018,28,"EW"
"289",2018-07-22,59135339.6356164,29910007.3315068,29225332.3041096,2018,29,"EW"
"290",2018-07-29,59141553.9287671,29913013.9369863,29228539.9917808,2018,30,"EW"
"291",2018-08-05,59147768.2219178,29916020.5424658,29231747.6794521,2018,31,"EW"
"292",2018-08-12,59153982.5150685,29919027.1479452,29234955.3671233,2018,32,"EW"
"293",2018-08-19,59160196.8082192,29922033.7534247,29238163.0547945,2018,33,"EW"
"294",2018-08-26,59166411.1013699,29925040.3589041,29241370.7424658,2018,34,"EW"
"295",2018-09-02,59172625.3945206,29928046.9643836,29244578.430137,2018,35,"EW"
"296",2018-09-09,59178839.6876712,29931053.569863,29247786.1178082,2018,36,"EW"
"297",2018-09-16,59185053.9808219,29934060.1753425,29250993.8054795,2018,37,"EW"
"298",2018-09-23,59191268.2739726,29937066.7808219,29254201.4931507,2018,38,"EW"
"299",2018-09-30,59197482.5671233,29940073.3863014,29257409.1808219,2018,39,"EW"
"300",2018-10-07,59203696.860274,29943079.9917808,29260616.8684932,2018,40,"EW"
"301",2018-10-14,59209911.1534247,29946086.5972603,29263824.5561644,2018,41,"EW"
"302",2018-10-21,59216125.4465753,29949093.2027397,29267032.2438356,2018,42,"EW"
"303",2018-10-28,59222339.739726,29952099.8082192,29270239.9315068,2018,43,"EW"
"304",2018-11-04,59228554.0328767,29955106.4136986,29273447.6191781,2018,44,"EW"
"305",2018-11-11,59234768.3260274,29958113.0191781,29276655.3068493,2018,45,"EW"
"306",2018-11-18,59240982.6191781,29961119.6246575,29279862.9945205,2018,46,"EW"
"307",2018-11-25,59247196.9123288,29964126.230137,29283070.6821918,2018,47,"EW"
"308",2018-12-02,59253411.2054795,29967132.8356164,29286278.369863,2018,48,"EW"
"309",2018-12-09,59259625.4986301,29970139.4410959,29289486.0575342,2018,49,"EW"
"310",2018-12-16,59265839.7917808,29973146.0465753,29292693.7452055,2018,50,"EW"
"311",2018-12-23,59272054.0849315,29976152.6520548,29295901.4328767,2018,51,"EW"
"312",2018-12-31,59279156.1342466,29979588.7726027,29299567.3616438,2018,52,"EW"
"313",2019-01-07,59285370.4273973,29982595.3780822,29302775.0493151,2019,1,"EW"
"314",2019-01-14,59291584.7205479,29985601.9835616,29305982.7369863,2019,2,"EW"
"315",2019-01-21,59297799.0136986,29988608.5890411,29309190.4246575,2019,3,"EW"
"316",2019-01-28,59304013.3068493,29991615.1945205,29312398.1123288,2019,4,"EW"
"317",2019-02-04,59310227.6,29994621.8,29315605.8,2019,5,"EW"
"318",2019-02-11,59316441.8931507,29997628.4054795,29318813.4876712,2019,6,"EW"
